iter	Passed	Remaining
0	5	1087
1	6	677
2	8	528
3	9	455
4	10	417
5	12	390
6	13	364
7	14	345
8	15	331
9	16	319
10	18	309
11	19	300
12	20	292
13	21	285
14	22	279
15	23	274
16	25	269
17	26	264
18	27	262
19	28	260
20	30	256
21	31	255
22	32	252
23	34	250
24	35	247
25	36	245
26	37	242
27	39	240
28	40	238
29	41	235
30	43	235
31	44	233
32	45	231
33	47	230
34	48	228
35	49	226
36	51	224
37	52	224
38	53	222
39	55	220
40	56	218
41	57	216
42	58	214
43	60	213
44	61	211
45	62	209
46	63	207
47	65	206
48	66	204
49	67	202
50	68	200
51	69	198
52	70	196
53	72	195
54	73	193
55	75	193
56	76	191
57	77	190
58	79	189
59	80	187
60	81	186
61	83	185
62	84	183
63	85	182
64	86	180
65	88	178
66	89	177
67	91	176
68	92	175
69	93	174
70	95	172
71	96	171
72	97	169
73	98	168
74	100	166
75	101	165
76	102	164
77	104	163
78	106	163
79	107	161
80	109	160
81	110	158
82	111	157
83	113	156
84	114	154
85	115	153
86	116	151
87	117	150
88	119	148
89	120	147
90	121	145
91	122	144
92	124	142
93	125	141
94	126	139
95	127	138
96	129	137
97	130	135
98	131	134
99	132	132
100	134	131
101	135	129
102	136	128
103	137	127
104	138	125
105	140	124
106	141	122
107	142	121
108	143	119
109	144	118
110	145	116
111	147	115
112	148	114
113	149	112
114	150	111
115	152	110
116	153	108
117	154	107
118	155	106
119	157	104
120	158	103
121	159	102
122	160	100
123	162	99
124	163	98
125	164	96
126	165	95
127	166	93
128	168	92
129	169	91
130	170	89
131	172	88
132	173	87
133	174	85
134	175	84
135	177	83
136	178	82
137	180	80
138	181	79
139	182	78
140	183	76
141	185	75
142	186	74
143	188	73
144	189	71
145	190	70
146	191	69
147	193	67
148	194	66
149	195	65
150	196	63
151	198	62
152	199	61
153	200	59
154	201	58
155	203	57
156	204	55
157	205	54
158	207	53
159	208	52
160	209	50
161	210	49
162	212	48
163	213	46
164	214	45
165	215	44
166	217	42
167	218	41
168	219	40
169	220	38
170	222	37
171	224	36
172	225	35
173	226	33
174	227	32
175	228	31
176	229	29
177	231	28
178	232	27
179	233	25
180	234	24
181	235	23
182	237	22
183	238	20
184	239	19
185	240	18
186	242	16
187	243	15
188	244	14
189	246	12
190	247	11
191	248	10
192	249	9
193	251	7
194	252	6
195	254	5
196	256	3
197	257	2
198	258	1
199	259	0
